congress,chamber,icpsr,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2
113,Senate,40904,MN,100,0,1 ,"FRANKEN, Al",F000457,-0.4,-0.169,-18.263,0.96728,549,7,-0.378,-0.189
113,Senate,14009,MS,200,0,1 ,"COCHRAN, William Thad",C000567,0.287,0.051,-107.1494,0.7914,458,45,0.33,0.42
113,Senate,29534,MS,200,0,1 ,"WICKER, Roger F.",W000437,0.377,0.361,-100.11278,0.83191,544,47,0.349,0.237
113,Senate,29735,MO,200,0,1 ,"BLUNT, Roy",B000575,0.43,0.287,-110.07669,0.80955,521,53,0.383,0.355
113,Senate,40701,MO,100,0,1 ,"McCASKILL, Claire",M001170,-0.142,0.023,-57.86199,0.89489,521,24,-0.159,-0.055
113,Senate,14203,MT,100,1,1 ,"BAUCUS, Max Sieben",B000243,-0.212,0.017,-60.13694,0.804,276,26,-0.155,0.036
113,Senate,40702,MT,100,0,1 ,"TESTER, Jon",T000464,-0.21,0.138,-89.38861,0.84898,546,29,-0.171,-0.051
113,Senate,41309,MT,100,2,5 ,"WALSH, John E.",W000818,-0.255,0.462,-22.15141,0.922,273,8,-0.248,0.418
113,Senate,40905,NE,200,0,1 ,"JOHANNS, Mike",J000291,0.391,0.293,-96.6795,0.83,520,38,0.391,0.359
113,Senate,41302,NE,200,0,1 ,"FISCHER, Debra (Deb)",F000463,0.467,0.307,-83.07302,0.86028,552,29,0.461,0.34
113,Senate,15054,NV,100,0,1 ,"REID, Harry",R000146,-0.276,0.258,-96.68299,0.837,545,31,-0.289,0.489
113,Senate,20730,NV,200,0,1 ,"HELLER, Dean",H001041,0.464,-0.463,-200.73644,0.69001,541,88,0.458,-0.607
113,Senate,40906,NH,100,0,1 ,"SHAHEEN, Jeanne",S001181,-0.253,-0.241,-41.49636,0.92694,547,19,-0.26,-0.507
113,Senate,41106,NH,200,0,1 ,"AYOTTE, Kelly",A000368,0.351,-0.612,-128.71369,0.789,544,56,0.341,-0.614
113,Senate,14914,NJ,100,1,1 ,"LAUTENBERG, Frank Raleigh",L000123,-0.382,-0.579,-0.35377,0.989,31,0,-0.562,-0.605
113,Senate,29373,NJ,100,0,1 ,"MENENDEZ, Robert",M000639,-0.364,-0.118,-17.10917,0.96909,545,9,-0.525,-0.299
113,Senate,41307,NJ,200,2,5 ,"CHIESA, Jeffrey Scott",C001100,0.218,0.384,-15.28456,0.761,56,10,0.256,0.133
113,Senate,41308,NJ,100,3,2 ,"BOOKER, Cory Anthony",B001288,-0.615,-0.16,-8.87176,0.97504,351,4,-0.47,-0.623
113,Senate,20930,NM,100,0,1 ,"HEINRICH, Martin",H001046,-0.302,-0.021,-37.72148,0.93371,550,14,-0.252,-0.05
113,Senate,29924,NM,100,0,1 ,"UDALL, Thomas (Tom)",U000039,-0.453,0.18,-21.27901,0.96205,550,11,-0.398,0.155
